item_id,timestamp,target_value,Store_Size
5,2012-07-01,76819.4,20100
5,2012-07-02,78963.86,20100
5,2012-07-03,74824.71,20100
5,2012-07-04,78523.92,20100
5,2012-07-05,76445.9,20100
5,2012-07-06,85096.96,20100
5,2012-07-07,86807.56,20100
5,2012-07-08,78133.71,20100
5,2012-07-09,74186.36,20100
5,2012-07-10,73390.55,20100
5,2012-07-11,83331.85,20100
5,2012-07-12,81374.95,20100
5,2012-07-13,79509.64,20100
5,2012-07-14,81991.36,20100
5,2012-07-15,74095.57,20100
5,2012-07-16,77436.96,20100
5,2012-07-17,66526.71,20100
5,2012-07-18,75893.46,20100
5,2012-07-19,82891.17,20100
5,2012-07-20,76676.75,20100
5,2012-07-21,86973.98,20100
5,2012-07-22,83580.91,20100
5,2012-07-23,73057.88,20100
5,2012-07-24,75312.2,20100
5,2012-07-25,82268.09,20100
5,2012-07-26,73555.19,20100
5,2012-07-27,86210.85,20100
5,2012-07-28,98315.62,20100
5,2012-07-29,79134.47,20100
5,2012-07-30,85570.89,20100
5,2012-07-31,73282.02,20100
5,2012-08-01,78907.07,20100
5,2012-08-02,77663.51,20100
5,2012-08-03,80600.85,20100
5,2012-08-04,90300.9,20100
5,2012-08-05,86291.42,20100
5,2012-08-06,74889.77,20100
5,2012-08-07,70708.53,20100
5,2012-08-08,72082.67,20100
5,2012-08-09,73294.88,20100
5,2012-08-10,79758.06,20100
5,2012-08-11,93476.56,20100
5,2012-08-12,80623.7,20100
5,2012-08-13,77159.94,20100
5,2012-08-14,71758.33,20100
5,2012-08-15,73644.95,20100
5,2012-08-16,102495.14,20100
5,2012-08-17,81589.26,20100
5,2012-08-18,81706.64,20100
5,2012-08-19,76832.61,20100
5,2012-08-20,71224.61,20100
5,2012-08-21,73036.92,20100
5,2012-08-22,72253.23,20100
5,2012-08-23,79666.98,20100
5,2012-08-24,81443.51,20100
5,2012-08-25,92524.95,20100
5,2012-08-26,75463.69,20100
5,2012-08-27,75329.31,20100
5,2012-08-28,77440.41,20100
5,2012-08-29,73122.14,20100
5,2012-08-30,76037.14,20100
5,2012-08-31,83776.62,20100
5,2012-09-01,90193.34,20100
5,2012-09-02,89440.03,20100
5,2012-09-03,88205.89,20100
5,2012-09-04,68031.61,20100
5,2012-09-05,69594,20100
5,2012-09-06,76180.88,20100
5,2012-09-07,75391.33,20100
5,2012-09-08,86081.53,20100
5,2012-09-09,81037,20100
5,2012-09-10,109552.91,20100
5,2012-09-11,137006.05,20100
5,2012-09-12,114342.76,20100
5,2012-09-13,74418.99,20100
5,2012-09-14,74462.81,20100
5,2012-09-15,92701.25,20100
5,2012-09-16,77831.13,20100
5,2012-09-17,74909.47,20100
5,2012-09-18,74098.38,20100
5,2012-09-19,69330.82,20100
5,2012-09-20,73200.82,20100
5,2012-09-21,78768.96,20100
5,2012-09-22,91039.69,20100
5,2012-09-23,75804.11,20100
5,2012-09-24,68085.48,20100
5,2012-09-25,74563.94,20100
5,2012-09-26,71210.66,20100
5,2012-09-27,70632.27,20100
5,2012-09-28,79532.03,20100
5,2012-09-29,90816.82,20100
5,2012-09-30,77813.16,20100
5,2012-10-01,67776.18,20100
5,2012-10-02,77387.57,20100
5,2012-10-03,74826.03,20100
5,2012-10-04,74235.63,20100
5,2012-10-05,80783.63,20100
5,2012-10-06,217127.62,20100
5,2012-10-07,140372.59,20100
5,2012-10-08,115006.49,20100
5,2012-10-09,68488.32,20100
5,2012-10-10,68553.62,20100
5,2012-10-11,76709.14,20100
5,2012-10-12,81878.06,20100
5,2012-10-13,102559,20100
5,2012-10-14,87149.54,20100
5,2012-10-15,73872.93,20100
5,2012-10-16,78211.69,20100
5,2012-10-17,79457.26,20100
5,2012-10-18,77228.04,20100
5,2012-10-19,88913.78,20100
5,2012-10-20,111523.37,20100
5,2012-10-21,105962.35,20100
5,2012-10-22,78007.09,20100
5,2012-10-23,82691.44,20100
5,2012-10-24,81627.62,20100
5,2012-10-25,93888.82,20100
5,2012-10-26,93317.09,20100
5,2012-10-27,98922.1,20100
5,2012-10-28,94632.72,20100
5,2012-10-29,85354.28,20100
5,2012-10-30,82704.7,20100
5,2012-10-31,91342.55,20100
5,2012-11-01,93566.49,20100
5,2012-11-02,70844.86,20100
5,2012-11-03,111571.61,20100
5,2012-11-04,105350.08,20100
5,2012-11-05,90340.64,20100
5,2012-11-06,89607.08,20100
5,2012-11-07,90108.01,20100
5,2012-11-08,94019.12,20100
5,2012-11-09,107460.08,20100
5,2012-11-10,221557.4,20100
5,2012-11-11,165795.6,20100
5,2012-11-12,177656.37,20100
5,2012-11-13,92785.84,20100
5,2012-11-14,91481.06,20100
5,2012-11-15,94380.16,20100
5,2012-11-16,106934.75,20100
5,2012-11-17,169932.86,20100
5,2012-11-18,121174.73,20100
5,2012-11-19,107584.12,20100
5,2012-11-20,100804.52,20100
5,2012-11-21,118879.07,20100
5,2012-11-22,107471.11,20100
5,2012-11-23,324414.44,20100
5,2012-11-24,141618.39,20100
5,2012-11-25,132411.39,20100
5,2012-11-26,109620.22,20100
5,2012-11-27,99258.78,20100
5,2012-11-28,120494.12,20100
5,2012-11-29,127725.89,20100
5,2012-11-30,134434.05,20100
5,2012-12-01,155863.31,20100
5,2012-12-02,155870.38,20100
5,2012-12-03,125904.8,20100
5,2012-12-04,128819.51,20100
5,2012-12-05,132982.44,20100
5,2012-12-06,133973.21,20100
5,2012-12-07,152085.43,20100
5,2012-12-08,151055.55,20100
5,2012-12-09,153732.52,20100
5,2012-12-10,133765.44,20100
5,2012-12-11,148600.47,20100
5,2012-12-12,133602.29,20100
5,2012-12-13,150037.44,20100
5,2012-12-14,145968.98,20100
5,2012-12-15,170918.86,20100
5,2012-12-16,159143.49,20100
5,2012-12-17,145822.89,20100
5,2012-12-18,139288.16,20100
5,2012-12-19,150271.57,20100
5,2012-12-20,155653.19,20100
5,2012-12-21,156630.7,20100
5,2012-12-22,185617.74,20100
5,2012-12-23,171152.87,20100
5,2012-12-24,134695.11,20100
5,2012-12-25,0,20100
5,2012-12-26,154513.51,20100
5,2012-12-27,129849.85,20100
5,2012-12-28,142619.5,20100
5,2012-12-29,140477.28,20100
5,2012-12-30,136549.97,20100
5,2012-12-31,136508.91,20100
5,2013-01-01,105231.43,20100
5,2013-01-02,113891.91,20100
5,2013-01-03,114194.66,20100
5,2013-01-04,122667.98,20100
5,2013-01-05,123516.45,20100
5,2013-01-06,108940.58,20100
5,2013-01-07,107807.45,20100
5,2013-01-08,100303.59,20100
5,2013-01-09,101269.38,20100
5,2013-01-10,99181.89,20100
5,2013-01-11,109777.33,20100
5,2013-01-12,109950.93,20100
5,2013-01-13,105639.68,20100
5,2013-01-14,96588.59,20100
5,2013-01-15,101840.95,20100
5,2013-01-16,96727.73,20100
5,2013-01-17,100763.52,20100
5,2013-01-18,99470.74,20100
5,2013-01-19,189237.64,20100
5,2013-01-20,140455.57,20100
5,2013-01-21,124177.25,20100
5,2013-01-22,76684.85,20100
5,2013-01-23,77883.68,20100
5,2013-01-24,76452.28,20100
5,2013-01-25,76828.13,20100
5,2013-01-26,88034.58,20100
5,2013-01-27,78664.21,20100
5,2013-01-28,63179.35,20100
5,2013-01-29,66863.28,20100
5,2013-01-30,65669.57,20100
5,2013-01-31,68474.71,20100
5,2013-02-01,81050.84,20100
5,2013-02-02,83445.5,20100
5,2013-02-03,69228.26,20100
5,2013-02-04,63610.84,20100
5,2013-02-05,67808.51,20100
5,2013-02-06,65093.01,20100
5,2013-02-07,62581.43,20100
5,2013-02-08,84734.94,20100
5,2013-02-09,88646.63,20100
5,2013-02-10,77193.59,20100
5,2013-02-11,66968.2,20100
5,2013-02-12,73413.69,20100
5,2013-02-13,72979.44,20100
5,2013-02-14,76483.34,20100
5,2013-02-15,76667.39,20100
5,2013-02-16,211094.09,20100
5,2013-02-17,161670.17,20100
5,2013-02-18,145208.89,20100
5,2013-02-19,65280.56,20100
5,2013-02-20,62367,20100
5,2013-02-21,62808.14,20100
5,2013-02-22,70378.73,20100
5,2013-02-23,80583.04,20100
5,2013-02-24,70089.42,20100
5,2013-02-25,66485.13,20100
5,2013-02-26,70679.76,20100
5,2013-02-27,70176.99,20100
5,2013-02-28,74109.35,20100
5,2013-03-01,83958.43,20100
5,2013-03-02,92797.38,20100
5,2013-03-03,71832.47,20100
5,2013-03-04,73858.69,20100
5,2013-03-05,73800.86,20100
5,2013-03-06,79616.05,20100
5,2013-03-07,76591.59,20100
5,2013-03-08,76012.39,20100
5,2013-03-09,98160,20100
5,2013-03-10,92470.17,20100
5,2013-03-11,77572.43,20100
5,2013-03-12,70131.28,20100
5,2013-03-13,73646.67,20100
5,2013-03-14,77517.93,20100
5,2013-03-15,83390.26,20100
5,2013-03-16,102282.38,20100
5,2013-03-17,93685.59,20100
5,2013-03-18,83293.32,20100
5,2013-03-19,75071.93,20100
5,2013-03-20,78682.24,20100
5,2013-03-21,74860.83,20100
5,2013-03-22,87659.54,20100
5,2013-03-23,97771.85,20100
5,2013-03-24,86871.65,20100
5,2013-03-25,83159.75,20100
5,2013-03-26,77373.04,20100
5,2013-03-27,78301.62,20100
5,2013-03-28,81328.15,20100
5,2013-03-29,98480.61,20100
5,2013-03-30,105117.16,20100
5,2013-03-31,61148.07,20100
5,2013-04-01,80443.33,20100
5,2013-04-02,81887.76,20100
5,2013-04-03,83094.28,20100
5,2013-04-04,76209.59,20100
5,2013-04-05,100069.18,20100
5,2013-04-06,99755.98,20100
5,2013-04-07,84682.46,20100
5,2013-04-08,76930.63,20100
5,2013-04-09,70103.72,20100
5,2013-04-10,71118.03,20100
5,2013-04-11,82073.13,20100
5,2013-04-12,84917.04,20100
5,2013-04-13,92006.86,20100
5,2013-04-14,84610.39,20100
5,2013-04-15,71549.65,20100
5,2013-04-16,72371.35,20100
5,2013-04-17,74903.96,20100
5,2013-04-18,70718.75,20100
5,2013-04-19,77523.1,20100
5,2013-04-20,92480.16,20100
5,2013-04-21,80994.5,20100
5,2013-04-22,75992.01,20100
5,2013-04-23,80208.34,20100
5,2013-04-24,75970.82,20100
5,2013-04-25,77862.31,20100
5,2013-04-26,84276.86,20100
5,2013-04-27,103775.8,20100
5,2013-04-28,84521.55,20100
5,2013-04-29,75455.07,20100
5,2013-04-30,77888.33,20100
5,2013-05-01,82569.52,20100
5,2013-05-02,77636.11,20100
5,2013-05-03,84716.28,20100
5,2013-05-04,99825.01,20100
5,2013-05-05,88649.22,20100
5,2013-05-06,80423.28,20100
5,2013-05-07,77944.55,20100
5,2013-05-08,83728.21,20100
5,2013-05-09,84766.47,20100
5,2013-05-10,87858.29,20100
5,2013-05-11,95325.45,20100
